Score_crediticio,Ingreso_Neto,MONTO_SOLICITADO,TIEMPO_EMPLEO,TIPO_CONTRATO,GRADO_DE_ESTUDIOS,ESTADO_CIVIL,Edad,NUM_DEPENDIENTES,TIPO_DE_VIVIENDA,Tipo_de_cargo,Tipo_de_ocupacion,Plazo_del_prestamo,Frecuencia_de_pago,Porcentaje_Incumplimiento,credito_pagado,TIEMPO_RESIDENCIA_DOMICILIO
402,45760,123947,6,Trabajador independiente,Primaria,Casado,38,2,Inquilino,Administrativo,Empleado,15,quincenal,0.8,1,12
735,20646,10901,6,Trabajador independiente,Preparatoria,Casado,56,4,Propietario,Jubilado,aluminiero,3,mensual,0.2,1,12
570,22029,167624,6,Trabajo asalariado,Especialidad,Divorciado,51,4,Inquilino,Administrativo,policia,15,mensual,0.8,0,12
406,34402,36055,6,Trabajador independiente,Preparatoria,Divorciado,47,0,Propietario,Ventas por catÃ¡logo,carpintero,12,semanal,0.8,1,12
371,9263,173757,6,Trabajo asalariado,Maestría,Casado,23,0,Inquilino,Jubilado,intendente,3,catorcenal,0.8,0,12
320,35987,150788,6,Trabajo asalariado,Secundaria,Casado,34,0,Propietario,Ventas por catÃ¡logo,ventas,6,quincenal,0.8,0,12
421,13646,119099,6,Pensionado jubilado,Preparatoria,Divorciado,56,4,Propietario,Jubilado,labor de hogar,12,catorcenal,0.8,0,12
766,32529,16138,6,Trabajo asalariado,Licenciatura,Divorciado,42,1,Propietario,Ventas por catÃ¡logo,obrero,18,catorcenal,0.2,1,12
514,16664,171370,6,Trabajador independiente,Bachillerato,Viudo,22,2,Propietario,Jubilado,tortillera,9,mensual,0.8,1,12
630,40737,187184,6,Trabajo eventual,Media superior,Casado,22,2,Propietario,Administrativo,policia,15,catorcenal,0.5,0,12
758,40796,28429,6,Trabajo eventual,Maestría,Casado,37,1,Propietario,Administrativo,Jubilado,6,mensual,0.2,1,12
387,29027,55200,6,Trabajador independiente,Media superior,Viudo,33,1,Inquilino,Administrativo,Encargado de restaurant,9,quincenal,0.8,0,12
672,34373,184316,6,Trabajo eventual,Educación Básica,Casado,68,2,Propietario,Ventas por catÃ¡logo,supervisor almacenes,18,mensual,0.5,1,12
399,41397,106268,6,Trabajo asalariado,Bachillerato,Soltero,58,3,Inquilino,Administrativo,tortillera,9,quincenal,0.8,1,12
430,25609,22347,6,Trabajo eventual,Maestría,Casado,54,0,Propietario,Ventas por catÃ¡logo,Jubilado,15,quincenal,0.8,0,12
608,40835,152992,6,Trabajador independiente,Especialidad,Viudo,57,0,Inquilino,Jubilado,labor de hogar,9,catorcenal,0.5,1,12
643,43709,36822,6,Trabajo eventual,Licenciatura,Soltero,26,2,Inquilino,Ventas por catÃ¡logo,agricultor,15,catorcenal,0.5,0,12
791,24250,182731,6,Trabajo asalariado,Especialidad,Divorciado,22,1,Inquilino,Jubilado,vendedor,3,quincenal,0.2,1,12
713,26172,45108,6,Trabajo asalariado,Primaria,Viudo,59,3,Inquilino,Operativo,Programador,18,mensual,0.2,1,12
685,16555,133955,6,Trabajador independiente,Educación Básica,Viudo,19,2,Inquilino,Operativo,obrero,18,catorcenal,0.5,1,12
491,26874,12967,6,Trabajador independiente,Licenciatura,Divorciado,26,0,Inquilino,Operativo,costurera,6,semanal,0.8,0,12
576,18081,115719,6,Trabajador independiente,Preparatoria,Viudo,60,4,Propietario,Ventas por catÃ¡logo,director de obras pÃºblicas,15,catorcenal,0.8,0,12
460,29063,16871,6,Pensionado jubilado,Preparatoria,Casado,53,1,Inquilino,Operativo,Oficial AlbaÃ±il,9,catorcenal,0.8,0,12
759,11819,169685,6,Pensionado jubilado,Ingeniería,Divorciado,39,4,Propietario,Operativo,tortillera,3,mensual,0.2,1,12
613,30712,33179,6,Trabajo asalariado,Preparatoria,Viudo,39,2,Propietario,Operativo,Oficial AlbaÃ±il,12,mensual,0.5,0,12
321,29762,188260,6,Pensionado jubilado,Secundaria,Divorciado,39,0,Inquilino,Jubilado,mecÃ¡nico,9,semanal,0.8,0,12
552,16046,60099,6,Pensionado jubilado,Educación Básica,Divorciado,51,3,Inquilino,Administrativo,docente,6,semanal,0.8,0,12
774,36463,40262,6,Trabajo eventual,Secundaria,Divorciado,46,4,Propietario,Ventas por catÃ¡logo,intendente,18,catorcenal,0.2,1,12
358,33769,83213,6,Pensionado jubilado,Bachillerato,Soltero,55,3,Inquilino,Operativo,policia,6,quincenal,0.8,0,12
810,28150,122407,6,Trabajo eventual,Ingeniería,Viudo,63,0,Inquilino,Jubilado,farmacia,3,quincenal,0.1,1,12
775,7711,154340,6,Trabajador independiente,Ingeniería,Soltero,50,4,Inquilino,Administrativo,Administrativo,12,semanal,0.2,1,12
489,9853,91269,6,Trabajo eventual,Preparatoria,Viudo,35,3,Inquilino,Administrativo,alfarero,3,mensual,0.8,0,12
543,34077,65545,6,Trabajo eventual,Licenciatura,Casado,24,3,Inquilino,Administrativo,carpintero,12,quincenal,0.8,0,12
804,28863,44922,6,Trabajador independiente,Bachillerato,Casado,18,4,Inquilino,Jubilado,Mesera,18,mensual,0.1,1,12
430,26792,47913,6,Trabajador independiente,Primaria,Casado,50,0,Inquilino,Operativo,gerente,15,mensual,0.8,0,12
784,45483,102033,6,Trabajo asalariado,Educación Básica,Viudo,18,3,Propietario,Administrativo,supervisor almacenes,9,mensual,0.2,1,12
320,13942,109792,6,Trabajo asalariado,Educación Básica,Divorciado,41,2,Inquilino,Jubilado,docente,15,catorcenal,0.8,0,12
466,6762,191749,6,Trabajo asalariado,Maestría,Divorciado,21,4,Propietario,Jubilado,agricultor,12,quincenal,0.8,0,12
573,36987,185913,6,Trabajo asalariado,Especialidad,Soltero,21,1,Propietario,Ventas por catÃ¡logo,Empleado,3,catorcenal,0.8,0,12
687,20850,182404,6,Trabajo eventual,Preparatoria,Soltero,35,1,Propietario,Jubilado,Empleado,6,quincenal,0.5,1,12
615,17112,124863,6,Trabajo eventual,Maestría,Casado,44,0,Propietario,Administrativo,enfermera,15,semanal,0.5,0,12
313,29058,161104,6,Trabajo asalariado,Primaria,Soltero,60,2,Inquilino,Administrativo,Oficial AlbaÃ±il,15,mensual,0.8,0,12
541,43890,173918,6,Pensionado jubilado,Ingeniería,Viudo,49,3,Propietario,Jubilado,Contadora,18,mensual,0.8,0,12
645,5481,195546,6,Trabajo asalariado,Media superior,Viudo,50,1,Propietario,Administrativo,policia,12,quincenal,0.5,1,12
639,37921,49936,6,Pensionado jubilado,Primaria,Soltero,45,0,Propietario,Jubilado,tortillera,6,quincenal,0.5,0,12
391,45385,165866,6,Trabajador independiente,Primaria,Soltero,59,2,Propietario,Administrativo,Administrativo,12,catorcenal,0.8,0,12
666,6524,197660,6,Trabajo eventual,Licenciatura,Soltero,58,2,Propietario,Ventas por catÃ¡logo,farmacia,6,catorcenal,0.5,0,12
754,39888,186403,6,Trabajo eventual,Licenciatura,Soltero,53,0,Inquilino,Operativo,Empleado,9,semanal,0.2,1,12
727,20048,33141,6,Pensionado jubilado,Licenciatura,Casado,23,0,Inquilino,Ventas por catÃ¡logo,vendedor,9,catorcenal,0.2,1,12
808,40111,145146,6,Trabajo asalariado,Licenciatura,Casado,33,3,Propietario,Ventas por catÃ¡logo,costurera,9,mensual,0.1,1,12
334,42904,142478,6,Trabajo eventual,Especialidad,Soltero,51,0,Inquilino,Operativo,licenciada,12,mensual,0.8,0,12
